property_id,type,location,bedrooms,price,area_sqft,listing_freshness,roi_potential
1,Townhouse,Downtown Dubai,2,2754614,1671,New,Medium
2,Penthouse,Downtown Dubai,2,4352666,2213,New,Medium
3,Apartment,Downtown Dubai,2,1450162,3315,Old,Medium
4,Townhouse,JVC,4,1774634,1009,New,Medium
5,Townhouse,Business Bay,1,3255063,2861,Old,Medium
6,Penthouse,JVC,3,1728807,4520,Old,Medium
7,Apartment,Business Bay,5,622775,683,Old,High
8,Apartment,JVC,3,4963158,3328,Old,Medium
9,Townhouse,JVC,3,914600,4796,Old,High
10,Villa,Palm Jumeirah,1,2769070,1491,Old,Medium
11,Townhouse,JVC,1,4913359,1216,Old,Medium
12,Townhouse,Marina,1,2533901,482,New,Medium
13,Townhouse,Palm Jumeirah,2,3331569,2320,Old,Medium
14,Townhouse,JVC,4,1948763,3891,Old,Medium
15,Penthouse,Downtown Dubai,2,3019507,3544,Old,Medium
16,Apartment,Marina,4,1756715,2493,New,Medium
17,Penthouse,Marina,4,580257,575,Old,Medium
18,Penthouse,Marina,3,2026534,3104,Old,Medium
19,Penthouse,Palm Jumeirah,3,1324143,769,Old,Medium
20,Townhouse,JVC,4,3514938,2218,Old,Medium
21,Villa,JVC,4,4302986,2501,Old,Medium
22,Apartment,Downtown Dubai,2,871616,3890,Old,Medium
23,Villa,Downtown Dubai,2,2460155,2179,Old,Medium
24,Penthouse,Marina,3,4124064,1764,Old,Medium
25,Penthouse,Downtown Dubai,1,1275158,4862,Old,Medium
26,Villa,Palm Jumeirah,4,3210527,3742,New,Medium
27,Villa,JVC,2,2268967,4076,New,Medium
28,Villa,Marina,3,1416383,2826,Old,Medium
29,Penthouse,Downtown Dubai,2,779215,472,Old,Medium
30,Penthouse,Palm Jumeirah,4,3343236,3362,Old,Medium
31,Apartment,Palm Jumeirah,4,4237859,1259,New,Medium
32,Apartment,Downtown Dubai,5,773349,4256,Old,Medium
33,Penthouse,JVC,1,4618893,4538,New,Medium
34,Villa,Downtown Dubai,5,2460584,2824,New,Medium
35,Villa,Marina,3,4233003,1464,Old,Medium
36,Apartment,Downtown Dubai,2,1916207,2617,New,Medium
37,Penthouse,Palm Jumeirah,3,1078688,4417,Old,Medium
38,Apartment,Downtown Dubai,4,4726156,2659,Old,Medium
39,Apartment,JVC,5,2974653,4151,Old,Medium
40,Townhouse,Business Bay,5,3702209,2486,New,Medium
41,Townhouse,Downtown Dubai,5,4727995,768,New,Medium
42,Townhouse,JVC,3,1032726,3204,New,High
43,Villa,JVC,4,4452255,550,New,Medium
44,Penthouse,Palm Jumeirah,2,4317242,1534,Old,Medium
45,Penthouse,JVC,2,739968,3184,Old,High
46,Penthouse,JVC,3,788963,4564,Old,High
47,Penthouse,JVC,5,3092536,2746,Old,Medium
48,Townhouse,JVC,1,3475635,2650,Old,Medium
49,Villa,Marina,3,3801017,460,Old,Medium
50,Villa,Marina,3,1019165,3410,Old,Medium
51,Townhouse,Palm Jumeirah,4,4914084,4301,Old,Medium
52,Villa,Downtown Dubai,2,3940866,1737,Old,Medium
53,Townhouse,JVC,3,4378363,1584,Old,Medium
54,Penthouse,Downtown Dubai,3,3743484,4826,Old,Medium
55,Townhouse,Downtown Dubai,5,3524243,1951,Old,Medium
56,Penthouse,Palm Jumeirah,5,1527557,4833,Old,Medium
57,Penthouse,JVC,1,2496170,2029,Old,Medium
58,Apartment,JVC,4,4388577,1727,Old,Medium
59,Townhouse,Business Bay,1,1706123,1926,Old,Medium
60,Apartment,Downtown Dubai,5,2116596,2073,Old,Medium
61,Townhouse,Downtown Dubai,2,2285559,1761,Old,Medium
62,Townhouse,Marina,5,808449,1973,Old,Medium
63,Apartment,Business Bay,4,4347125,3086,New,Medium
64,Apartment,Marina,5,1033634,4770,New,Medium
65,Townhouse,Marina,4,4432747,2766,Old,Medium
66,Villa,Marina,4,690237,4157,Old,Medium
67,Penthouse,Palm Jumeirah,4,1356047,2834,Old,Medium
68,Apartment,Palm Jumeirah,4,4915677,2393,Old,Medium
69,Penthouse,Marina,4,1906368,1269,Old,Medium
70,Villa,Business Bay,2,1345474,1414,Old,High
71,Villa,Downtown Dubai,1,1724744,2311,Old,Medium
72,Villa,Business Bay,3,3847769,1002,Old,Medium
73,Apartment,JVC,1,2631018,4221,Old,Medium
74,Villa,Palm Jumeirah,4,3751128,1090,New,Medium
75,Apartment,Downtown Dubai,2,3989429,893,New,Medium
76,Villa,Downtown Dubai,5,3008426,889,Old,Medium
77,Penthouse,JVC,2,3031086,2956,Old,Medium
78,Penthouse,JVC,4,794746,4885,Old,High
79,Townhouse,Marina,2,4852892,694,New,Medium
80,Penthouse,Palm Jumeirah,2,2202159,4427,Old,Medium
81,Townhouse,Palm Jumeirah,4,4257985,3243,New,Medium
82,Penthouse,Business Bay,2,4302177,3312,New,Medium
83,Apartment,Marina,3,2503426,2117,Old,Medium
84,Penthouse,Marina,3,3851463,2996,Old,Medium
85,Townhouse,Marina,2,623950,2273,New,Medium
86,Townhouse,Marina,5,1653224,3658,New,Medium
87,Villa,Palm Jumeirah,4,4732851,3217,Old,Medium
88,Apartment,Palm Jumeirah,3,3150235,844,New,Medium
89,Penthouse,Marina,5,2240534,4041,Old,Medium
90,Villa,Business Bay,2,4391839,4858,Old,Medium
91,Penthouse,Downtown Dubai,5,1804766,1141,New,Medium
92,Penthouse,Downtown Dubai,1,2803554,2441,New,Medium
93,Villa,Business Bay,3,3898147,1079,Old,Medium
94,Villa,Marina,2,4520120,2867,Old,Medium
95,Villa,Palm Jumeirah,4,3446862,4097,Old,Medium
96,Villa,Downtown Dubai,2,3176517,1758,Old,Medium
97,Villa,JVC,4,4807086,462,Old,Medium
98,Penthouse,JVC,2,1127220,2959,Old,High
99,Villa,Business Bay,5,943316,4169,Old,High
100,Apartment,Marina,5,4017741,4751,Old,Medium
101,Townhouse,Downtown Dubai,5,3956653,534,Old,Medium
102,Villa,Marina,1,975595,4044,Old,Medium
103,Villa,Downtown Dubai,4,1965744,2535,Old,Medium
104,Penthouse,Business Bay,5,2388806,3678,Old,Medium
105,Villa,Business Bay,1,3744424,1222,New,Medium
106,Villa,JVC,4,2648091,3474,Old,Medium
107,Villa,Marina,2,4461676,3381,Old,Medium
108,Penthouse,JVC,1,2260462,520,New,Medium
109,Villa,Marina,3,2738673,2037,New,Medium
110,Townhouse,JVC,1,2123154,1324,Old,Medium
111,Penthouse,Palm Jumeirah,1,4558848,1044,Old,Medium
112,Townhouse,Palm Jumeirah,4,3980826,2432,Old,Medium
113,Penthouse,Palm Jumeirah,2,1309178,3161,Old,Medium
114,Villa,Palm Jumeirah,3,3062605,2468,Old,Medium
115,Townhouse,Downtown Dubai,5,1221037,641,New,Medium
116,Penthouse,Palm Jumeirah,5,3732244,3068,Old,Medium
117,Apartment,Business Bay,1,3299250,1202,Old,Medium
118,Villa,Business Bay,4,1521469,4564,Old,Medium
119,Penthouse,Downtown Dubai,4,2881306,595,Old,Medium
120,Apartment,Palm Jumeirah,5,3392371,2587,Old,Medium
121,Penthouse,Palm Jumeirah,3,2312336,3915,New,Medium
122,Apartment,Palm Jumeirah,2,4833848,2730,Old,Medium
123,Villa,JVC,3,963001,2759,New,High
124,Townhouse,Marina,2,3680246,4006,Old,Medium
125,Apartment,JVC,5,2651061,676,New,Medium
126,Penthouse,Marina,2,4450511,460,New,Medium
127,Villa,Palm Jumeirah,4,3322136,3790,Old,Medium
128,Apartment,Palm Jumeirah,1,1015693,2313,Old,Medium
129,Penthouse,JVC,1,3136722,4327,Old,Medium
130,Penthouse,JVC,5,739017,2991,New,High
131,Penthouse,Marina,4,914994,966,New,Medium
132,Apartment,Business Bay,3,1441768,4335,Old,High
133,Apartment,Marina,4,2340083,1971,New,Medium
134,Apartment,JVC,1,1576941,1600,New,Medium
135,Townhouse,JVC,1,965982,4809,Old,High
136,Apartment,Downtown Dubai,4,3038568,3254,Old,Medium
137,Apartment,JVC,4,773146,3295,Old,High
138,Apartment,Downtown Dubai,1,1664795,1636,Old,Medium
139,Townhouse,Business Bay,3,1889330,536,Old,Medium
140,Apartment,Marina,5,3177747,1429,Old,Medium
141,Penthouse,Marina,5,2909381,2556,Old,Medium
142,Apartment,Downtown Dubai,4,4070599,2994,Old,Medium
143,Penthouse,Marina,5,3443295,1061,New,Medium
144,Penthouse,JVC,1,3783616,2872,Old,Medium
145,Penthouse,Palm Jumeirah,1,577175,3077,New,Medium
146,Townhouse,Downtown Dubai,4,3185747,2708,Old,Medium
147,Townhouse,Marina,4,2578808,486,New,Medium
148,Townhouse,Downtown Dubai,4,1857453,2912,Old,Medium
149,Apartment,Downtown Dubai,3,3511786,3342,Old,Medium
150,Penthouse,Palm Jumeirah,5,595028,3173,New,Medium
151,Townhouse,JVC,4,2058242,2904,New,Medium
152,Townhouse,Downtown Dubai,2,4819453,3710,Old,Medium
153,Apartment,Marina,2,663834,2100,Old,Medium
154,Townhouse,Business Bay,1,2867555,4070,Old,Medium
155,Apartment,Downtown Dubai,5,1729787,3100,Old,Medium
156,Villa,Downtown Dubai,4,3512359,4029,Old,Medium
157,Townhouse,Palm Jumeirah,2,1825569,4990,Old,Medium
158,Villa,JVC,5,1916828,2047,Old,Medium
159,Apartment,Business Bay,1,2914165,3718,Old,Medium
160,Penthouse,Marina,3,3708823,4087,Old,Medium
161,Townhouse,Business Bay,5,4125654,996,Old,Medium
162,Apartment,Marina,5,785711,4945,Old,Medium
163,Penthouse,JVC,3,1623389,884,Old,Medium
164,Penthouse,Marina,5,1075919,1045,Old,Medium
165,Villa,Palm Jumeirah,1,3831106,3489,New,Medium
166,Apartment,Palm Jumeirah,1,1352746,4784,New,Medium
167,Penthouse,Palm Jumeirah,3,922381,1120,Old,Medium
168,Townhouse,Palm Jumeirah,4,1476433,898,Old,Medium
169,Townhouse,Business Bay,2,3171252,2073,Old,Medium
170,Villa,JVC,4,2020943,3467,New,Medium
171,Penthouse,Marina,5,901067,514,Old,Medium
172,Apartment,Marina,2,960796,3379,Old,Medium
173,Townhouse,Palm Jumeirah,3,1504001,2136,New,Medium
174,Penthouse,Palm Jumeirah,3,812023,4011,Old,Medium
175,Penthouse,Downtown Dubai,2,3705599,2653,Old,Medium
176,Villa,JVC,1,3677902,2694,Old,Medium
177,Townhouse,Business Bay,2,1255111,4030,Old,High
178,Townhouse,Marina,5,2820715,546,Old,Medium
179,Apartment,Downtown Dubai,1,2734805,4382,Old,Medium
180,Townhouse,Downtown Dubai,3,4804459,3853,Old,Medium
181,Apartment,Marina,2,2399054,4907,Old,Medium
182,Townhouse,Business Bay,4,3957550,2810,Old,Medium
183,Villa,Downtown Dubai,4,2050184,536,Old,Medium
184,Townhouse,Downtown Dubai,5,4674482,3760,Old,Medium
185,Apartment,JVC,4,3773523,3405,Old,Medium
186,Apartment,Business Bay,2,588668,3952,New,High
187,Villa,Downtown Dubai,2,3334837,418,Old,Medium
188,Townhouse,Business Bay,4,4119348,2642,Old,Medium
189,Townhouse,Marina,2,2424914,848,New,Medium
190,Villa,Palm Jumeirah,5,4510162,2348,Old,Medium
191,Townhouse,Downtown Dubai,1,3270742,1345,New,Medium
192,Townhouse,JVC,5,3270374,4636,Old,Medium
193,Apartment,Marina,5,4082299,2320,Old,Medium
194,Townhouse,Business Bay,2,3545915,3377,Old,Medium
195,Townhouse,Marina,1,770914,4588,New,Medium
196,Villa,Downtown Dubai,2,4609803,4415,New,Medium
197,Villa,Business Bay,3,862455,638,Old,High
198,Penthouse,Palm Jumeirah,2,4974017,604,Old,Medium
199,Apartment,Marina,2,1534586,3007,Old,Medium
200,Townhouse,Downtown Dubai,2,2246688,4740,Old,Medium
201,Townhouse,JVC,1,3600581,3788,Old,Medium
202,Penthouse,Business Bay,2,3161637,3372,Old,Medium
203,Townhouse,Marina,1,4172277,4790,Old,Medium
204,Apartment,Marina,4,2584504,3087,Old,Medium
205,Penthouse,Palm Jumeirah,3,4657137,4566,Old,Medium
206,Apartment,Palm Jumeirah,1,2754736,1748,Old,Medium
207,Penthouse,JVC,4,3521372,4800,New,Medium
208,Penthouse,JVC,1,2888229,1216,Old,Medium
209,Villa,Downtown Dubai,1,3621881,1220,Old,Medium
210,Apartment,Downtown Dubai,3,2971378,592,New,Medium
211,Townhouse,JVC,5,4330121,2176,New,Medium
212,Townhouse,JVC,5,4062944,4045,Old,Medium
213,Apartment,Business Bay,1,1853324,650,Old,Medium
