user_id,persona,geo_location
1,End-User,UAE
2,End-User,UAE
3,End-User,UAE
4,Investor,International
5,End-User,UAE
6,End-User,International
7,Investor,UAE
8,Investor,International
9,End-User,International
10,End-User,UAE
11,End-User,UAE
12,End-User,UAE
13,End-User,International
14,End-User,International
15,End-User,UAE
16,Investor,UAE
17,End-User,UAE
18,End-User,International
19,Investor,UAE
20,End-User,UAE
21,Investor,UAE
22,End-User,UAE
23,End-User,International
24,End-User,UAE
25,End-User,International
26,End-User,UAE
27,Luxury-Buyer,UAE
28,End-User,International
29,End-User,International
30,End-User,International
31,End-User,UAE
32,End-User,UAE
33,End-User,International
34,Investor,UAE
35,Investor,UAE
36,End-User,International
37,End-User,International
38,End-User,International
39,Investor,International
40,End-User,International
41,End-User,UAE
42,Luxury-Buyer,UAE
43,End-User,UAE
44,End-User,UAE
45,End-User,UAE
46,End-User,UAE
47,End-User,UAE
48,Luxury-Buyer,UAE
49,End-User,UAE
50,End-User,UAE
51,Investor,UAE
52,Investor,International
53,End-User,UAE
54,End-User,UAE
55,End-User,International
56,Investor,UAE
57,End-User,UAE
58,End-User,UAE
59,End-User,UAE
60,End-User,International
61,Investor,UAE
62,End-User,International
63,End-User,UAE
64,End-User,UAE
65,End-User,UAE
66,End-User,UAE
67,End-User,UAE
68,Investor,UAE
69,Investor,UAE
70,End-User,International
71,End-User,UAE
72,End-User,International
73,End-User,International
74,End-User,UAE
75,Luxury-Buyer,UAE
76,End-User,UAE
77,End-User,International
78,End-User,UAE
79,End-User,International
80,Investor,UAE
81,Investor,International
82,End-User,UAE
83,End-User,International
84,Investor,UAE
85,End-User,UAE
86,End-User,UAE
87,End-User,UAE
88,Investor,International
89,Investor,UAE
90,End-User,UAE
91,End-User,UAE
92,End-User,UAE
93,End-User,UAE
94,Investor,International
95,Investor,UAE
96,End-User,International
97,Investor,UAE
98,End-User,UAE
99,End-User,International
100,Investor,International
101,End-User,UAE
102,End-User,International
103,End-User,UAE
104,Investor,UAE
105,End-User,International
106,End-User,UAE
107,End-User,UAE
108,End-User,International
109,End-User,International
110,End-User,UAE
111,End-User,UAE
112,End-User,UAE
113,End-User,International
114,Investor,International
115,Investor,UAE
116,End-User,UAE
117,End-User,UAE
118,End-User,International
119,End-User,International
120,End-User,International
121,End-User,International
122,End-User,UAE
123,End-User,UAE
124,Investor,UAE
125,Investor,UAE
126,End-User,UAE
127,Investor,UAE
128,End-User,International
129,End-User,International
130,End-User,UAE
131,Investor,UAE
132,End-User,UAE
133,End-User,International
134,End-User,International
135,End-User,UAE
136,End-User,UAE
137,End-User,UAE
138,End-User,UAE
139,Investor,UAE
140,End-User,International
141,End-User,International
142,End-User,UAE
143,Luxury-Buyer,International
144,End-User,International
